,0
2019-04-24,257156.92
2019-04-23,257490.56
2019-04-22,254460.27
2019-04-19,256344.11
2019-04-18,255687.82
2019-04-17,255291.71
2019-04-16,263463.5
2019-04-15,253507.44
2019-04-12,252859.63
2019-04-11,252774.07
2019-04-10,252757.28
2019-04-09,252719.96
2019-04-08,252660.01
2019-04-05,252830.22
2019-04-04,252918.42
2019-04-03,255137.68
2019-04-02,258133.65
2019-04-01,258897.9
2019-03-29,255749.41
2019-03-28,251070.62
2019-03-27,260898.09
2019-03-26,250878.56
2019-03-25,249961.7
2019-03-22,250608.07
2019-03-21,250212.39
2019-03-20,250367.54
2019-03-19,250324.79
2019-03-18,250344.09
2019-03-15,250522.77
2019-03-14,250696.4
2019-03-13,250715.63
2019-03-12,250498.35
2019-03-11,250922.76
2019-03-07,251026.73
2019-03-06,251011.58
2019-03-05,251146.27
2019-03-04,252561.35
2019-03-01,252628.15
2019-02-28,251457.28
2019-02-27,281289.56
2019-02-26,302044.49
2019-02-25,251761.24
2019-02-22,252413.58
2019-02-21,253139.73
2019-02-20,253135.77
2019-02-19,253208.34
2019-02-18,252450.86
2019-02-15,252092.35
2019-02-14,252097.87
2019-02-13,248388.86
2019-02-12,248310.26
2019-02-11,247990.29
2019-02-08,248055.61
2019-02-07,247711.82
2019-02-06,248663.3
2019-02-05,248739.63
2019-02-04,248781.58
2019-02-01,248931.15
2019-01-31,368425.74
2019-01-30,288412.21
2019-01-29,348489.96
2019-01-28,248565.08
2019-01-25,249024.97
2019-01-24,248975.07
2019-01-23,248469.1
2019-01-22,248772.91
2019-01-21,248422.74
2019-01-18,248523.73
2019-01-17,248764.76
2019-01-16,248755.27
2019-01-15,237964.42
2019-01-14,257450.25
2019-01-11,258478.7
2019-01-10,260485.56
2019-01-09,261171.61
2018-12-29,258288.77
2018-12-28,256007.99
2018-12-27,253957.74
2018-12-26,323438.41
2018-12-25,309634.1
2018-12-24,289099.33
2018-12-21,359114.01
2018-12-20,449101.43
2018-12-19,469882.55
2018-12-18,498977.12
2018-12-17,508975.8
2018-12-14,439029.66
2018-12-13,398443.97
2018-12-12,350518.82
2018-12-11,416391.74
2018-12-10,406704.35
2018-12-07,487570.27
2018-12-06,507629.77
2018-12-05,507718.68
2018-12-04,527761.78
2018-12-03,598187.61
2018-11-30,676254.42
2018-11-29,636855.12
2018-11-28,655966.49
2018-11-27,656171.54
2018-11-26,465330.51
2018-11-23,345939.2
